Year ,Month,Interest Rate (%)
2025,February,10.75
2025,January,11.25
2024,December,11.25
2024,November,12
2024,October,12
2024,September,12.75
2024,August,12.75
2024,July,13
2024,June,13
2024,May,13
2024,April,13
2024,March,13
2024,February,13
2024,January,12.5
2023,December,12.5
2023,November,10.5
2023,October,10.5
2023,September,10.5
2023,August,10.5
2023,July,10.5
2023,June,10.5
2023,May,9.5
2023,April,9.5
2023,March,9.5
2023,February,8.75
2023,January,8.75
2022,December,8.75
2022,November,8.75
2022,October,8.25
2022,September,8.25
2022,August,7.5
2022,July,7.5
2022,June,7.5
2022,May,7.5
2022,April,7
2022,March,7
2022,February,7
2022,January,7
2021,December,7
2021,November,7
2021,October,7
2021,September,7
2021,August,7
2021,July,7
2021,June,7
2021,May,7
2021,April,7
2021,March,7
2021,February,7
2021,January,7
2020,December,7
2020,November,7
2020,October,7
2020,September,7
2020,August,7
2020,July,7
2020,June,7
2020,May,7
2020,April,7
2020,March,7.25
2020,February,8.25
2020,January,8.25
2019,December,8.5
2019,November,8.5
2019,October,9
2019,September,9
2019,August,9
2019,July,9
2019,June,9
2019,May,9
2019,April,9
2019,March,9
2019,February,9
2019,January,9
2018,December,9
2018,November,9
2018,October,9
2018,September,9
2018,August,9
2018,July,9
2018,June,9.5
2018,May,9.5
2018,April,9.5
2018,March,9.5
2018,February,10
2018,January,10
2017,December,10
2017,November,10
2017,October,10
2017,September,10
2017,August,10
2017,July,10
2017,June,10
2017,May,10
2017,April,10
2017,March,10
2017,February,10
2017,January,10
2016,December,10
2016,November,10
2016,October,10
2016,September,10
2016,August,10
2016,July,10.5
2016,June,10.5
2016,May,10.5
2016,April,11.5
2016,March,11.5
2016,February,11.5
2016,January,11.5
2015,December,11.5
2015,November,11.5
2015,October,11.5
2015,September,11.5
2015,August,11.5
2015,July,11.5
2015,June,10
2015,May,8.5
2015,April,8.5
2015,March,8.5
2015,February,8.5
2015,January,8.5